Station ID,Station Name,Station Type,County,Start Date,End Date,Location_1,Location_2
G1NED0001,Horseshoe Beach-1,Ocean,Dixie,7/31/2017,3/4/2020,29.4083,-83.2583
G1NED0002,Horseshoe Beach-2,Ocean,Dixie,7/31/2017,3/4/2020,29.4083,-83.2417
G1NED0003,Horseshoe Beach-3,Ocean,Dixie,7/31/2017,8/14/2023,29.3917,-83.2417
G1NED0004,Horseshoe Beach-7,Ocean,Dixie,7/31/2017,3/4/2020,29.4583,-83.3583
G1NED0005,Horseshoe Beach-8,Ocean,Dixie,7/31/2017,3/4/2020,29.4583,-83.3417
G1NED0006,Horseshoe Beach-9,Ocean,Dixie,7/31/2017,8/14/2023,29.4417,-83.3417
G1NED0007,Keaton Beach-1,Ocean,Taylor,7/24/2017,12/7/2023,29.818,-83.589
G1NED0008,Keaton Beach-2,Ocean,Taylor,7/24/2017,12/7/2023,29.817,-83.616
G1NED0009,Keaton Beach-3,Ocean,Taylor,7/24/2017,12/5/2019,29.84,-83.633
G1NED0010,Keaton Beach-5,Ocean,Taylor,7/24/2017,12/5/2019,29.825,-83.656
G1NED0011,Keaton Beach-6,Ocean,Taylor,7/24/2017,12/7/2023,29.799,-83.644
G1NED0012,Steinhatchee-2,Estuary,Dixie,7/24/2017,12/13/2021,29.6718333,-83.396833
G1NED0013,Steinhatchee-3,Ocean,Dixie,7/24/2017,12/7/2023,29.6583333,-83.425
G1NED0014,Steinhatchee-4,Ocean,Dixie,7/24/2017,11/23/2020,29.625,-83.425
G1NED0015,Steinhatchee-5,Ocean,Dixie,7/24/2017,12/7/2023,29.6416666,-83.441666
G1NED0016,Steinhatchee-8,Ocean,Dixie,7/24/2017,12/7/2023,29.625,-83.458333
G1NED0017,Suwannee-1,River/Stream,Dixie,7/25/2017,12/14/2021,29.327227,-83.103822
G1NED0018,Suwannee-4,Ocean,Dixie,7/25/2017,12/8/2020,29.3041666,-83.176
G1NED0019,Suwannee-5,Ocean,Levy,7/25/2017,10/31/2023,29.275,-83.161666
G1NED0020,Suwannee-7,Ocean,Dixie,7/25/2017,10/31/2023,29.2993,-83.2361
G1NED0021,Suwannee-9,Ocean,Levy,7/25/2017,10/31/2023,29.2416666,-83.208333
G1NED0022,Waccasassa-2,Estuary,Levy,7/5/2017,11/7/2023,29.1791666,-82.791666
G1NED0023,Waccasassa-3,Estuary,Levy,7/5/2017,9/19/2023,29.1621666,-82.8105
G1NED0024,Waccasassa-6,Ocean,Levy,7/5/2017,11/7/2023,29.125,-82.841666
G1NED0025,Waccasassa-8,Ocean,Levy,7/5/2017,7/9/2020,29.1416666,-82.825
G1NED0026,Waccasassa-10,Ocean,Levy,7/5/2017,11/7/2023,29.1083333,-82.858333
G1SD0001,Big Marco Pass,Estuary,Collier,9/26/2017,10/26/2021,25.9742,-81.7285
G1SD0002,Cape Romano Complex,Estuary,Collier,9/26/2017,11/28/2023,25.8525,-81.6753
G1SD0003,Caxambas Pass,Estuary,Collier,11/29/2017,10/26/2021,25.9122,-81.7171
G1SD0004,Faka Union Bay,Estuary,Collier,9/27/2017,10/27/2021,25.9005,-81.5159
G1SD0005,Fakahatchee Bay,Estuary,Collier,9/27/2017,10/27/2021,25.8922,-81.4769
G1SD0006,Goodland Bay,Estuary,Collier,9/27/2017,10/26/2021,25.9323,-81.6548
G1SD0007,Keewaydin Island,Estuary,Collier,9/26/2017,10/26/2021,25.9911,-81.751
G1SD0008,Middle Blackwater River,Estuary,Collier,9/27/2017,10/27/2021,25.9342,-81.5955
G1SD0009,Pumpkin Bay,Estuary,Collier,9/27/2017,10/27/2021,25.9141,-81.5404
G1WA0100,Goodland Bay,Estuary,COLLIER,-,11/28/2023,25.93029999,-81.6438
G5AP0008,Pennekamp (Ocean Forest),Estuary,MONROE,12/18/2019,9/25/2023,25.22372,-80.327391
G5AP0009,Pennekamp (Garden Cove)),Estuary,MONROE,12/18/2019,12/28/2021,25.17093,-80.36711
G5AP0009,Pennekamp (Garden Cove)),Estuary,MONROE,-,8/28/2020,25.17092999,-80.36711
G5AP0010,Newfound Harbor Patch Reef,Estuary,MONROE,6/29/2020,12/4/2023,24.61563299,-81.393783
G5AP0011,Pennekamp (Largo Sound),Estuary,MONROE,-,9/25/2023,25.12747399,-80.403765
G5AP0012,Pennekamp (Mosquito Banks),Estuary,MONROE,-,9/25/2023,25.07904399,-80.377284
G5AP0013,Card Sound- Ocean Reef Bay Side,Estuary,MONROE,-,9/25/2023,25.33144999,-80.28553
G5AP0014,Card Sound- North Key Largo Bay Side,Estuary,MONROE,-,9/25/2023,25.29684999,-80.32237
G5AP0015,South Cudjoe Key Ocean Side,Estuary,MONROE,-,9/27/2023,24.63150999,-81.50374
G5AP0016,Sugarloaf Key Bay Side,Estuary,MONROE,-,9/27/2023,24.67849999,-81.5711
G5AP0017,Shark Key Bay Side,Estuary,MONROE,-,9/27/2023,24.60612999,-81.65368
G5AP0018,Long Key Ocean Side,Estuary,MONROE,-,9/5/2023,24.79800999,-80.84784
G5AP0020,Lignumvitae Key (Benthic Site LK0202),Estuary,MONROE,-,9/5/2023,24.89928299,-80.682667
G5AP0021,Lignumvitae Key (Benthic Site LK0802),Estuary,MONROE,-,9/5/2023,24.88303399,-80.669915
G5AP0022,DRTO- Loggerhead Forest,Estuary,MONROE,-,12/26/2023,24.66239999,-82.9274
G5AP0023,DRTO- Bird Key Reef,Estuary,MONROE,-,12/26/2023,24.61169999,-82.8702
G5AP0025,DRTO- Garden Key Harbor,Estuary,MONROE,-,12/26/2023,24.62689999,-82.8723
G5AP0026,Coupon Bight,Estuary,MONROE,-,9/27/2023,24.65093899,-81.366443
G5AP0060,Little Munson Island- East Side,Estuary,Monroe,-,6/24/2021,24.62349113,-81.3999769
G5AP0061,Little Munson Island- West Side,Estuary,Monroe,-,7/1/2021,24.62416419,-81.4024676
G5NE0038,Tomoka Basin 1,Estuary,Volusia,2/15/2021,7/12/2022,29.37179999,-81.0862
G5NE0039,Tomoka Basin 2,Estuary,Volusia,2/15/2021,12/13/2021,29.36329999,-81.0882
G5NED0027,Withlacoochee- 5,Estuary,Levy,1/30/2019,7/16/2020,29.00837,-82.79157
G5NED0028,Withlacoochee- 6,Estuary,Levy,1/30/2019,11/15/2021,29.00801,-82.75849
G5NED0029,Withlacoochee- 7,Estuary,Levy,1/30/2019,7/16/2020,28.975,-82.825
G5SWD0030,Withlacoochee- 10,Estuary,CITRUS,1/30/2019,7/16/2020,28.94189,-82.79195
G5SWD0031,Crystal- 1,Estuary,CITRUS,1/23/2019,11/15/2021,28.925,-82.7417
G5SWD0032,Crystal- 2,Estuary,CITRUS,1/23/2019,7/6/2020,28.92504,-82.70825
G5SWD0033,Crystal- 5,Estuary,CITRUS,1/23/2019,7/6/2020,28.89214,-82.7427
G5SWD0034,Crystal- 7,Estuary,CITRUS,1/23/2019,11/15/2021,28.89054,-82.67732
G5SWD0035,Homosassa- 1,Estuary,CITRUS,1/29/2019,11/15/2021,28.82472,-82.74168
G5SWD0036,Homosassa- 4,Estuary,CITRUS,1/29/2019,7/23/2020,28.79488,-82.65847
G5SWD0037,Homosassa- 6,Estuary,CITRUS,1/29/2019,7/23/2020,28.75845,-82.74179
G5SWD0038,Homosassa- 7,Estuary,CITRUS,1/29/2019,7/23/2020,28.75804,-82.70837
G5SWD0039,Homosassa- 8,Estuary,CITRUS,1/29/2019,7/23/2020,28.74162,-82.74162
G5WA0001,Coupon Bight (Seacamp Property),Estuary,MONROE,8/2/2017,5/1/2019,24.652115,-81.372559
G5WA0002,Coupon Bight (Long Beach),Estuary,MONROE,8/2/2017,5/30/2023,24.641215,-81.339787
G5WA0002,Coupon Bight (Long Beach),Estuary,Monroe,-,-,24.64121499,-81.339787
G5WA0002,Coupon Bight (Long Beach),Estuary,MONROE,-,8/28/2020,24.64121499,-81.339787
G5WA0003,Lignumvitae Key (Indian Key Fill- Bayside),Estuary,Monroe,-,-,24.88921399,-80.677644
G5WA0003,Lignumvitae Key (Indian Key Fill- Bayside),Estuary,MONROE,8/2/2017,9/25/2023,24.889214,-80.677644
G5WA0004,Lignumvitae Key (Indian Key Fill- Oceanside),Estuary,MONROE,8/2/2017,9/25/2023,24.892989,-80.66897
G5WA0004,Lignumvitae Key (Indian Key Fill- Oceanside),Estuary,Monroe,-,-,24.89298899,-80.66897
G5WA0004,Lignumvitae Key (Indian Key Fill- Oceanside),Estuary,MONROE,-,11/23/2020,24.89298899,-80.66897
G5WA0005,Sombrero Beach,Estuary,MONROE,-,8/28/2020,24.69209999,-81.0874
G5WA0005,Sombrero Beach,Estuary,Monroe,-,-,24.69209999,-81.0874
G5WA0005,Sombrero Beach,Estuary,MONROE,11/19/2019,12/27/2021,24.6921,-81.0874
G5WA0006,Vaca Cut,Estuary,MONROE,11/19/2019,9/25/2023,24.730786,-81.028902
G5WA0006,Vaca Cut,Estuary,Monroe,-,-,24.73078599,-81.028902
G5WA0006,Vaca Cut,Estuary,MONROE,-,8/28/2020,24.73078599,-81.028902
G5WA0007,Coupon Bight (Big Pine Avenue),Estuary,MONROE,-,8/28/2020,24.65483999,-81.36896
G5WA0007,Coupon Bight (Big Pine Avenue),Estuary,Monroe,-,-,24.65483999,-81.36896
G5WA0007,Coupon Bight (Big Pine Avenue),Estuary,MONROE,9/16/2019,9/27/2023,24.65484,-81.36896
GTMFMNUT,Matanzas River Channel Marker 75,River/Stream,ST. JOHNS,2/26/2014,10/13/2020,29.737,-81.246
GTMPCNUT,Pellicer Creek,River/Stream,ST. JOHNS,2/25/2014,10/13/2020,29.66754056,-81.2577545
GTMPCNUT,Pellicer Creek,River/Stream,ST. JOHNS,12/10/2012,8/7/2018,29.66702721,-81.25742197
GTMPINUT,Pine Island Channel Marker 25,River/Stream,St. Johns,2/26/2014,10/13/2020,30.0508,-81.3675
GTMSSNUT,San Sebastian & Matanzas River confluence Channel Marker 1,River/Stream,ST. JOHNS,2/26/2014,10/13/2020,29.86884199,-81.307443
NEAPECNUT,Edwards Creek,Estuary,DUVAL,8/13/2019,6/7/2023,30.502,-81.5023
NEAPNRNUT,Nassau River,Estuary,NASSAU,8/13/2019,6/7/2023,30.5395,-81.5214
NEAPPHNUT,Pumpkin Hill Creek,Estuary,DUVAL,8/13/2019,6/7/2023,30.5423,-81.4991
NEAPSMNUT,St. Marys River,Estuary,NASSAU,8/13/2019,6/7/2023,30.7149,-81.4788
SJBDEAR05,Eastern end near Gulf County Canal,Estuary,GULF,6/17/2020,6/17/2020,29.82881999,-85.32076
SJBDEAR06,Northwestern end north of Eagle Harbor,Estuary,GULF,6/17/2020,12/20/2023,29.82454899,-85.385778
TC0921201,TC0921201,Estuary,Monroe,-,9/21/2020,24.79553299,-81.486283
TC0921202,TC0921202,Estuary,Monroe,-,9/21/2020,24.74806599,-81.487033
TC0921203,TC0921203,Estuary,Monroe,-,9/21/2020,24.72131699,-81.46385
