Requested report - WIN WAVES
COUNTY = DUVAL, FLORIDA, FLAGLER, FLORIDA, ST. JOHNS, FLORIDA
Report Run on MARCH 29, 2024The data you are accessing are from the WIN Warehouse.  The WIN Warehouse is refreshed on a weekly basis with new data that are submitted to WIN.  The refresh process occurs on the weekend; data uploaded to WIN through each Friday are available in the WIN Warehouse by the following Monday.  WIN replaces Florida STORET as an active data repository.  Florida STORET data are accessible through STORET Public Access (SPA).The following data met your selection criteria
"Organization ID"|"Organization Name"|"Monitoring Location ID"|"Monitoring Location Name"|"Primary Type"|"Secondary Type"|"Waterbody Name"|"Org Decimal Latitude"|"Org Latitude (DD MM SS.SSSS)"|"Org Decimal Longitude"|"Org Longitude (DD MM SS.SSSS)"|"Org Datum"|"Org Method"|"DEP Latitude"|"DEP Longitude"|"DEP Point Moved"|"Verifier Name"|"Verifier Timestamp"|"DEP Datum"|"NHD Reach Code"|"NHD Reach Code Date"|"STORET Monitoring Location ID"|"Land Surface Elevation (ft)"|"Land Surface Elevation Method"|"Land Surface Elevation Datum"|"Monitoring Loc Description"|"Monitoring Location Comment"|"ML Loaded Date"|"ML Updated Date"|"Florida Unique Well ID"|"GW Waterbody Subname"|"Well Type"|"Well Status"|"Aquifer Confinement"|"Well Total Depth (ft)"|"Well Casing Depth (ft)"|"ScreenOpenHoleBeginDepth (ft)"|"ScreenOpenHoleEndDepth (ft)"|"Well Construction Method"|"ConstructionMethodExplanation"|"Well Drill Date"|"Well Finish"|"Well Casing Material"|"Well Casing Diameter (in)"|"Well Screen Material"|"Well Screen Diameter (in)"|"Well Lead Weight"|"Water Level Recorder Indicator"|"Well Log Type"|"Primary Elevation Value (ft)"|"Primary Elevation Reference"|"Primary Elevation Method"|"Primary Elevation Datum"|"Secondary Elevation Value (ft)"|"Secondary Elevation Reference"|"Secondary Elevation Method"|"Secondary Elevation Datum"|"Top Of Aquifer"|"Bottom Of Aquifer"|"County"|"BMAP"|"BMAP Sub-Boundary"|"WBID"|"DEP District"|"Water Management District"|"Basin"|"Planning Unit"|"HUC12 Value"|"HUC12 Name"|"HUC8 Value"|"HUC8 Name"|"Basin Group"|"State"|"WBID Water Type"|"Waterbody Class"
"21FLKWAT"|"FLORIDA LAKEWATCH"|"FLA-CHEYC-3"|"Flagler-Cheyenne Cove-3"|"Surface Water"|"Canal Drainage"|""|"29.6"|""|"-81.2056"|""|"World Geodetic Survey Of 1984"|"Differentially Corrected C/A Code Phase GPS"|"29.600000001"|"-81.2056"|"N"|"HORSBURGH_C_1"|"08/21/2019 13:45:54"|"North American Datum Of 1983"|"03080201021114"|"06/27/2014"|"Fla-CheyC-3"|""|""|""|""|""|"08/22/2019"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"FLAGLER"|""|""|"2363EC"|"NORTHEAST"|"SJRWMD"|"UPPER EAST COAST"|"PELLICER CREEK"|"030802010304"|"PELLICER CREEK-BIG MULBERRY BRANCH FRONTAL"|"03080201"|"DAYTONA-ST. AUGUSTINE"|"GROUP 5"|"FLORIDA"|"ESTUARY"|"3M"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"27010088"|"San Sebastian River @ Hidden Harbor Marina"|"Surface Water"|"Estuary"|""|"29.88915"|""|"-81.3218"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"29.889149989"|"-81.3218"|"N"|"PARRISH_JM"|"12/22/2021 11:09:22"|"North American Datum Of 1983"|""|""|"In Storet"|""|""|""|""|""|"12/22/2021"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ST. JOHNS"|""|""|"2491"|"NORTHEAST"|"SJRWMD"|"UPPER EAST COAST"|"MATANZAS RIVER"|"030802010503"|"MOULTRIE CREEK"|"03080201"|"DAYTONA-ST. AUGUSTINE"|"GROUP 5"|"FLORIDA"|"ESTUARY"|"3M"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"G5NE0603"|"San Sebastian River at Shipyards"|"Surface Water"|"Estuary"|""|"29.880617"|""|"-81.321849"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"29.880616989"|"-81.321849"|"N"|"PARRISH_JM"|"12/22/2021 11:09:34"|"North American Datum Of 1983"|""|""|"NOT IN FLSTORET"|""|""|""|""|""|"12/22/2021"|"11/28/2022"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ST. JOHNS"|""|""|"2491"|"NORTHEAST"|"SJRWMD"|"UPPER EAST COAST"|"MATANZAS RIVER"|"030802010503"|"MOULTRIE CREEK"|"03080201"|"DAYTONA-ST. AUGUSTINE"|"GROUP 5"|"FLORIDA"|"ESTUARY"|"3M"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"20030147"|"DUNNS CR FLA RT 105 (HECKSHER DR.)"|"Surface Water"|"Estuary"|""|"30.411833"|""|"-81.5825"|""|"North American Datum Of 1983"|"Digital Aerial Photography"|"30.411833"|"-81.5825"|"N"|"PARRISH_JM"|"07/18/2017 15:56:22"|"North American Datum Of 1983"|""|""|"20030147"|""|""|""|""|""|"06/15/2017"|"07/18/2017"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM"|""|"2181A"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"NORTH MAINSTEM"|"030801031601"|"BROWARD RIVER"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"ESTUARY"|"3M"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"20030872"|"NEWCASTLE CR @ FT CAROLINE HILLS RD"|"Surface Water"|"River/Stream"|""|"30.365767"|""|"-81.579672"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"30.365767001"|"-81.579672"|"N"|"PARRISH_JM"|"06/15/2017 11:23:06"|"North American Datum Of 1983"|"03080103038542"|"09/18/2014"|"20030872"|""|""|""|""|""|"06/15/2017"|"07/17/2017"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM/LSJT - LOWER ST. JOHNS TRIBUTARIES I AND II"|"LOWER ST. JOHNS MAINSTEM - Marine/LOWER ST. JOHNS TRIBUTARIES I AND II - LSJT"|"2235"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"NORTH MAINSTEM"|"030801031601"|"BROWARD RIVER"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"G2NE1182"|"Bull Creek Canal 0.5M Upstr of Dead Lake"|"Surface Water"|"River/Stream"|""|"29.427928"|""|"-81.43617"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"29.427928001"|"-81.43617"|"N"|"PARRISH_JM"|"12/17/2018 14:01:47"|"North American Datum Of 1983"|"03080103001622"|"02/27/2012"|"NOT IN FLSTORET"|""|""|""|""|""|"12/17/2018"|"08/27/2019"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"FLAGLER"|"LSJM - LOWER ST. JOHNS MAINSTEM"|""|"2615"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"CRESCENT LAKE"|"030801030301"|"DEAD LAKE"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"G2NE1174"|"Oldfield Creek at Tar Kiln Rd."|"Surface Water"|"River/Stream"|""|"30.146694"|""|"-81.60333"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"30.146694001"|"-81.60333"|"N"|"PARRISH_JM"|"10/01/2018 11:43:32"|"North American Datum Of 1983"|"03080103038518"|"09/18/2014"|"NOT IN FLSTORET"|""|""|""|""|""|"10/01/2018"|"08/27/2019"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM"|"LOWER ST. JOHNS MAINSTEM - Marine"|"2370"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"JULINGTON CREEK"|"030801031302"|"JULINGTON CREEK"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLCEN"|"FDEP CENTRAL REGIONAL OPERATIONS CENTER"|"G2CE0066"|"Little Haw Creek @ 10m Upstream of SR11"|"Surface Water"|"River/Stream"|""|"29.26873"|""|"-81.33588"|""|"North American Datum Of 1983"|"Unknown method"|"29.26873"|"-81.33588"|"N"|"WILLIAMS_KM"|"08/30/2017 14:53:23"|"North American Datum Of 1983"|"03080103041504"|"06/06/2019"|"G2CE0066"|""|""|""|""|""|"08/30/2017"|"06/06/2019"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"FLAGLER"|"LSJM - LOWER ST. JOHNS MAINSTEM"|"LOWER ST. JOHNS MAINSTEM - Crescent Lake"|"2630C"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"CRESCENT LAKE"|"030801030102"|"LAKE DISTON"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLWQA"|"FDEP WATERSHED ASSESSMENT SECTION"|"WMDBLOOM634"|"Trout Creek - Trout Creek Park Boat Ramp, L2022879-HAB22PK74"|"Surface Water"|"Canal Drainage"|""|"29.9848577"|""|"-81.56373699"|""|"World Geodetic Survey Of 1984"|"Differentially Corrected C/A Code Phase GPS"|"29.984857689"|"-81.56373699"|"N"|"STORRS_J"|"04/14/2023 13:36:31"|"North American Datum Of 1983"|"03080103045120"|"07/23/2019"|"NOT IN FLSTORET"|""|""|""|""|""|"04/14/2023"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ST. JOHNS"|"LSJM - LOWER ST. JOHNS MAINSTEM"|"LOWER ST. JOHNS MAINSTEM - Freshwater"|"2431"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"SIXMILE CREEK"|"030801031202"|"TROUT CREEK-ST. JOHNS RIVER"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"20030950"|"OPEN CREEK AT POWERLINES EAST OF DANFORTH RD."|"Surface Water"|"River/Stream"|""|"30.273238"|""|"-81.45418"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"30.273238001"|"-81.45418"|"N"|"PARRISH_JM"|"03/20/2018 16:39:26"|"North American Datum Of 1983"|"03080103023934"|"09/18/2014"|"20030950"|""|""|""|""|""|"03/20/2018"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM/LSJT - LOWER ST. JOHNS TRIBUTARIES I AND II"|"LOWER ST. JOHNS MAINSTEM - Marine/LOWER ST. JOHNS TRIBUTARIES I AND II - LSJT"|"2299B"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"INTRACOASTAL WATERWAY"|"030801031605"|"LOWER PABLO CREEK"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"G5NE0602"|"Guana River Above Micklers Rd."|"Surface Water"|"River/Stream"|""|"30.161519"|""|"-81.3605"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"30.161518989"|"-81.3605"|"Y"|"PARRISH_JM"|"06/29/2021 14:07:39"|"North American Datum Of 1983"|"03080201021472"|"07/09/2019"|"NOT IN FLSTORET"|""|""|""|""|""|"06/29/2021"|"11/28/2022"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ST. JOHNS"|""|""|"2320B2"|"NORTHEAST"|"SJRWMD"|"UPPER EAST COAST"|"TOLOMATO RIVER"|"030802010602"|"LOWER TOLOMATO RIVER"|"03080201"|"DAYTONA-ST. AUGUSTINE"|"GROUP 5"|"FLORIDA"|"STREAM"|"3F"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"G2NE0082"|"STRAWBERRY CR ARLINGTON RD BR"|"Surface Water"|"River/Stream"|""|"30.322891"|""|"-81.5827"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"30.322891001"|"-81.5827"|"N"|"PARRISH_JM"|"04/22/2019 13:21:51"|"North American Datum Of 1983"|"03080103034538"|"12/04/2013"|"20030075"|""|""|""|""|""|"04/22/2019"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM"|"LOWER ST. JOHNS MAINSTEM - Marine"|"2239"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"NORTH MAINSTEM"|"030801031503"|"ARLINGTON RIVER"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"27010165"|"DEEP CREEK 270M ABOVE ICW"|"Surface Water"|"Estuary"|""|"30.050338"|""|"-81.371008"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"30.050338001"|"-81.371008"|"Y"|"PARRISH_JM"|"12/23/2019 11:31:04"|"North American Datum Of 1983"|""|""|"NOT IN FLSTORET"|""|""|""|""|""|"12/23/2019"|"07/29/2021"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ST. JOHNS"|""|""|"2406C"|"NORTHEAST"|"SJRWMD"|"UPPER EAST COAST"|"TOLOMATO RIVER"|"030802010601"|"UPPER TOLOMATO RIVER"|"03080201"|"DAYTONA-ST. AUGUSTINE"|"GROUP 5"|"FLORIDA"|"ESTUARY"|"2"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"NEHAB0042"|"Yacht Basin"|"Surface Water"|"Estuary"|""|"30.2513"|""|"-81.6894"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"30.251299989"|"-81.6894"|"N"|"PARRISH_JM"|"09/29/2021 14:37:39"|"North American Datum Of 1983"|""|""|"NOT IN FLSTORET"|""|""|""|""|""|"09/29/2021"|"11/28/2022"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM"|"LOWER ST. JOHNS MAINSTEM - Marine"|"2213E"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"NORTH MAINSTEM"|"030801031404"|"NEW ROSE CREEK"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"ESTUARY"|"3M"
