"PREPARATION_METHOD_ID"|"LONG_NAME"|"EPA_CODE_ID"|"BEGIN_DATE"|"END_DATE"|"MODIFY_USER_NAME"|"MODIFY_TS"
"63"|"EPA 509"|"EPA 509"|"01-JAN-2014 00:00:00"|""|""|""
"64"|"EPA 522"|"EPA 522"|"01-JAN-2014 00:00:00"|""|""|""
"65"|"EPA 625"|"EPA 625"|"01-JAN-2014 00:00:00"|""|""|""
"66"|"EPA 7060 (Prep)"|"EPA 7060 (Prep)"|"01-JAN-2014 00:00:00"|""|""|""
"67"|"EPA 7470"|"EPA 7470"|"01-JAN-2014 00:00:00"|""|""|""
"68"|"EPA 7471"|"EPA 7471"|"01-JAN-2014 00:00:00"|""|""|""
"69"|"EPA 7740 (Prep)"|"EPA 7740 (Prep)"|"01-JAN-2014 00:00:00"|""|""|""
"70"|"EPA 7760 (Prep)"|"EPA 7760 (Prep)"|"01-JAN-2014 00:00:00"|""|""|""
"71"|"EPA 7761 (Prep)"|"EPA 7761 (Prep)"|"01-JAN-2014 00:00:00"|""|""|""
"72"|"EPA 8011"|"EPA 8011"|"01-JAN-2014 00:00:00"|""|""|""
"73"|"EPA 8321"|"EPA 8321"|"01-JAN-2014 00:00:00"|""|""|""
"74"|"EPA 9010"|"EPA 9010"|"01-JAN-2014 00:00:00"|""|""|""
"75"|"EPA 9012"|"EPA 9012"|"01-JAN-2014 00:00:00"|""|""|""
"76"|"EPA 9013"|"EPA 9013"|"01-JAN-2014 00:00:00"|""|""|""
"77"|"EPA 903.0 (Alpha)"|"EPA 903.0 (Alpha)"|"01-JAN-2014 00:00:00"|""|""|""
"78"|"EPA 9030"|"EPA 9030"|"01-JAN-2014 00:00:00"|""|""|""
"79"|"EPA 9031 Distillation"|"EPA 9031 Distillatio"|"01-JAN-2014 00:00:00"|""|""|""
"80"|"EPA 9315"|"EPA 9315"|"01-JAN-2014 00:00:00"|""|""|""
"81"|"EPA 9320"|"EPA 9320"|"01-JAN-2014 00:00:00"|""|""|""
"82"|"EPA CE-81-1 P. 3-154"|"EPA CE-81-1 P. 3-154"|"01-JAN-2014 00:00:00"|""|""|""
"83"|"EPA CE-81-1 P. 3-155"|"EPA CE-81-1 P. 3-155"|"01-JAN-2014 00:00:00"|""|""|""
"84"|"EPA CE-81-1 P. 3-157"|"EPA CE-81-1 P. 3-157"|"01-JAN-2014 00:00:00"|""|""|""
"85"|"EPA CE-81-1 P. 3-201, Method "|"EPA CE-81-1 P. 3-201"|"01-JAN-2014 00:00:00"|""|""|""
"86"|"EPA CE-81-1 P. 3-205"|"EPA CE-81-1 P. 3-205"|"01-JAN-2014 00:00:00"|""|""|""
"87"|"EPA CE-81-1 P. 3-227"|"EPA CE-81-1 P. 3-227"|"01-JAN-2014 00:00:00"|""|""|""
"88"|"EPACE-81-1 P. 3-183"|"EPACE-81-1 P. 3-183"|"01-JAN-2014 00:00:00"|""|""|""
"89"|"Extract"|"Extract"|"01-JAN-2014 00:00:00"|"22-MAR-2021 04:00:00"|"ADAMS_TL"|"22-MAR-2021 13:43:06"
"90"|"FDEP FL-PRO"|"FDEP FL-PRO"|"01-JAN-2014 00:00:00"|""|""|""
"91"|"Gen Prep"|"Gen Prep"|"01-JAN-2014 00:00:00"|""|""|""
"92"|"Micro-DW"|"Micro-DW"|"01-JAN-2014 00:00:00"|""|""|""
"93"|"Micro-MF"|"Micro-MF"|"01-JAN-2014 00:00:00"|""|""|""
"94"|"Micro-MPN"|"Micro-MPN"|"01-JAN-2014 00:00:00"|""|""|""
"95"|"No Prep"|"No Prep"|"01-JAN-2014 00:00:00"|""|""|""
"96"|"SM 10200 H"|"SM 10200 H"|"01-JAN-2014 00:00:00"|""|""|""
"97"|"SM 4500-CN-C"|"SM 4500-CN-C"|"01-JAN-2014 00:00:00"|""|""|""
"98"|"SM 4500-F B"|"SM 4500-F B"|"01-JAN-2014 00:00:00"|""|""|""
"99"|"SM 4500-NH3 B"|"SM 4500-NH3 B"|"01-JAN-2014 00:00:00"|""|""|""
"100"|"SM 4500-P B5"|"SM 4500-P B5"|"01-JAN-2014 00:00:00"|""|""|""
"101"|"SM 510 A"|"SM 510 A"|"01-JAN-2014 00:00:00"|""|""|""
"102"|"SM 9215 B"|"SM 9215 B"|"01-JAN-2014 00:00:00"|""|""|""
"103"|"SM 9222 B"|"SM 9222 B"|"01-JAN-2014 00:00:00"|""|""|""
"104"|"SM 9230 B"|"SM 9230 B"|"01-JAN-2014 00:00:00"|""|""|""
"105"|"TOTAL DIGEST"|"TOTAL DIGEST"|"01-JAN-2014 00:00:00"|""|""|""
"106"|"SM 3030 E"|"SM 3030 E"|"01-JAN-2014 00:00:00"|""|""|""
"107"|"MICRO-QT"|"MICRO-QT"|"29-MAY-2017 00:00:00"|""|""|""
"108"|"SOP-AB02_1"|"SOP-AB02_1"|"29-MAY-2017 00:00:00"|""|""|""
"109"|"SOP-AB10_1"|"SOP-AB10_1"|"29-MAY-2017 00:00:00"|""|""|""
"110"|"SOP-AB11"|"SOP-AB11"|"29-MAY-2017 00:00:00"|""|""|""
"111"|"SOP-BB02"|"SOP-BB02"|"29-MAY-2017 00:00:00"|"17-NOV-2017 05:00:00"|"ZIMMERMAN_JM"|"17-NOV-2017 21:59:53"
"112"|"SOP-IZ02"|"SOP-IZ02"|"29-MAY-2017 00:00:00"|""|""|""
"113"|"SOP-TA08_01/08_04"|"SOP-TA08_01/08_04"|"29-MAY-2017 00:00:00"|""|""|""
"114"|"SOP-BB29"|"SOP-BB29"|"19-JUN-2017 00:00:00"|""|""|""
"115"|"SFWMD 3170"|"SFWMD 3170"|"16-JUL-2017 00:00:00"|""|""|""
"116"|"SOP-PCR-1.1"|"SOP-PCR-1.1"|"31-JUL-2017 00:00:00"|""|""|""
"117"|"SOP-PCR-4.1"|"SOP-PCR-4.1"|"31-JUL-2017 00:00:00"|""|""|""
"118"|"SOP-PCR-4.2"|"SOP-PCR-4.2"|"31-JUL-2017 00:00:00"|""|""|""
"119"|"USGS-O-1126"|"USGS-O-1126"|"31-AUG-2017 00:00:00"|""|""|""
"120"|"EPA 446.0"|"EPA 446.0"|"26-SEP-2017 00:00:00"|""|""|""
"122"|"EPA 447.0"|"EPA 447.0"|"26-SEP-2017 00:00:00"|""|""|""
"123"|"EPA 1603"|"EPA 1603"|"27-FEB-2018 00:00:00"|""|""|""
"124"|"SOP-GC-002"|"SOP-GC-002"|"04-JUN-2018 00:00:00"|""|"ZIMMERMAN_JM"|"04-JUN-2018 09:13:50"
"125"|"EPA 608"|"EPA 608"|"31-JUL-2019 00:00:00"|""|""|""
"126"|"EPA 365.3"|"EPA 365.3"|"04-JUN-2020 00:00:00"|""|""|""
"127"|"SOP-LC-011"|"SOP-LC-011"|"08-MAR-2021 00:00:00"|""|""|""
