"TARGET_SPECIES_ID"|"LONG_NAME"|"BEGIN_DATE"|"END_DATE"|"MODIFY_USER_NAME"|"MODIFY_TS"
"68"|"Lutjanus synagris"|"01-JAN-2014 00:00:00"|""|""|""
"69"|"Lutjanus analis"|"01-JAN-2014 00:00:00"|""|""|""
"70"|"Tilapia mariae"|"01-JAN-2014 00:00:00"|""|""|""
"71"|"Mugil cephalus"|"01-JAN-2014 00:00:00"|""|""|""
"72"|"Seriola rivoliana"|"01-JAN-2014 00:00:00"|""|""|""
"73"|"Arius felis"|"01-JAN-2014 00:00:00"|""|""|""
"74"|"Morone (Hybrid)"|"01-JAN-2014 00:00:00"|""|""|""
"75"|"Sciaenops ocellatus"|"01-JAN-2014 00:00:00"|""|""|""
"76"|"Epinephelus morio"|"01-JAN-2014 00:00:00"|""|""|""
"77"|"Morone saxatilis"|"01-JAN-2014 00:00:00"|""|""|""
"78"|"Perca flavescens"|"01-JAN-2014 00:00:00"|""|""|""
"79"|"Acanthocybium solandri"|"01-JAN-2014 00:00:00"|""|""|""
"80"|"Pomatomus saltatrix"|"01-JAN-2014 00:00:00"|""|""|""
"81"|"Lepomis macrochirus"|"01-JAN-2014 00:00:00"|""|""|""
"82"|"Caranx hippos"|"01-JAN-2014 00:00:00"|""|""|""
"83"|"Lachnolaimus maximus"|"01-JAN-2014 00:00:00"|""|""|""
"84"|"Ameiurus catus"|"01-JAN-2014 00:00:00"|""|""|""
"85"|"Pogonius cromis"|"01-JAN-2014 00:00:00"|""|""|""
"86"|"Coryphaena hippurus"|"01-JAN-2014 00:00:00"|""|""|""
"87"|"Mycteroperca microlepis"|"01-JAN-2014 00:00:00"|""|""|""
"88"|"Lagodon rhomboides"|"01-JAN-2014 00:00:00"|""|""|""
"89"|"Megalops atlanticus"|"01-JAN-2014 00:00:00"|""|""|""
"90"|"Rachycentron canadum"|"01-JAN-2014 00:00:00"|""|""|""
"91"|"Astronotus ocellatus"|"01-JAN-2014 00:00:00"|""|""|""
"92"|"Morone chrysops"|"01-JAN-2014 00:00:00"|""|""|""
"93"|"Leiostomus xanthurus"|"01-JAN-2014 00:00:00"|""|""|""
"94"|"Mugil curema"|"01-JAN-2014 00:00:00"|""|""|""
"95"|"Esox niger"|"01-JAN-2014 00:00:00"|""|""|""
"96"|"Mycteroperca phenax"|"01-JAN-2014 00:00:00"|""|""|""
"97"|"Lepomis gulosus"|"01-JAN-2014 00:00:00"|""|""|""
"98"|"Albula vulpes"|"01-JAN-2014 00:00:00"|""|""|""
"99"|"Elops saurus"|"01-JAN-2014 00:00:00"|""|""|""
"100"|"Selene vomer"|"01-JAN-2014 00:00:00"|""|""|""
"101"|"Centropomidae"|"01-JAN-2014 00:00:00"|""|""|""
"102"|"Amia calva"|"01-JAN-2014 00:00:00"|""|""|""
"103"|"Unidentified Pickerel"|"01-JAN-2014 00:00:00"|""|""|""
"104"|"Unknown Catfish"|"01-JAN-2014 00:00:00"|""|""|""
"105"|"Shark"|"01-JAN-2014 00:00:00"|""|""|""
"106"|"Gambusia holbrooki"|"01-JAN-2014 00:00:00"|""|""|""
