"WIN_TABLE_ID"|"LONG_NAME"|"DB_SCHEMA_NAME"|"DB_TABLE_NAME"|"DB_TABLE_TYPE_IND"|"USER_MANAGEABLE_IND"|"WH_EXTRACTION_IND"|"BEGIN_DATE"|"DESCRIPTION"|"END_DATE"|"MODIFY_USER_NAME"|"MODIFY_TS"|"PK_COLUMN_NAME"|"FK_COLUMN_NAME"|"SCREEN_TYPE_NAME"|"WIN_CLASS_NAME"
"11"|"Mdqs Rule Level Codes"|"WIN"|"MDQS_RULE_LEVEL_CODES"|"C"|"R"|"Y"|"01-JAN-2014 00:00:00"|"Define the Level of the MDQS Business Rule and related error, such as: During Import; MDQS Basic; MDQS Advanced; etc."|""|""|""|"MDQS_RULE_LEVEL_ID"|"RLVLC_MDQS_RULE_LEVEL_ID"|""|"MdqsRuleLevelCodesEntity"
"12"|"Mdqs Rule Type Codes"|"WIN"|"MDQS_RULE_TYPE_CODES"|"C"|"R"|"Y"|"01-JAN-2014 00:00:00"|"Define the Type of the MDQS Business Rule and related error such as: Field Length; Global Format; Code Translation; Required Value Missing; Variable Combination, Values Combination; Variable Conditional Requirements; Values Conditional Requirements; etc."|""|""|""|"MDQS_RULE_TYPE_ID"|"RTYPC_MDQS_RULE_TYPE_ID"|""|"MdqsRuleTypeCodesEntity"
"13"|"Mdqs Rule Variables"|"WIN"|"MDQS_RULE_VARIABLES"|"C"|"R"|"N"|"01-JAN-2014 00:00:00"|"Middle table entity to store the m-m relationship among the MDQ_RULES, the Column partecipating to the rule and the SVL (Standard value Lists identified in the WIN_TABLE_CODE entity).This entity is also used to view/query relationship between Code Tables and MDQS Rules."|""|""|""|"MDQS_RULE_VARIABLE_KEY"|"RLVAR_MDQS_RULE_VARIABLE_KEY"|""|"MdqsRuleVariablesEntity"
"14"|"Media Codes"|"WIN"|"MEDIA_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"Name or code indicating the environmental medium where the sample was taken. The list of WIN Media code values as defined by DEP and translated to the EPA will include values as: air, sediment, soil, tissue, water, etc."|""|""|""|"MEDIA_ID"|"MEDIAC_MEDIA_ID"|"codeTableBaseGrid"|"MediaCodesEntity"
"15"|"Monitoring Locations"|"WIN"|"MONITORING_LOCATIONS"|"M"|"Y"|"N"|"01-JAN-2014 00:00:00"|"The location site at which Surface and/or Ground Water Quality sampling and/or Water monitoring activities are conducted."|""|""|""|"MONITORING_LOCATION_KEY"|"MONLOC_MONITORING_LOCATION_KEY"|""|""
"16"|"Monitoring Locations Hist"|"WIN"|"MONITORING_LOCATIONS_HIST"|"M"|"N"|"N"|"01-JAN-2014 00:00:00"|"The History of the location site at which Surface and/or Ground Water Quality sampling and/or Water monitoring activities are conducted."|""|""|""|"MONITORING_LOCATION_HIST_KEY"|""|""|""
"17"|"Nhd Feature Classes Codes"|"WIN"|"NHD_FEATURE_CLASSES_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"The code that represents the NHD Feature Class designation of a Monitoring Location (e.g. waterbody, flow line, area, etc.)"|""|""|""|"NHD_FEATURE_CLASS_ID"|"FECLSC_NHD_FEATURE_CLASS_ID"|"codeTableBaseGrid"|"NhdFeatureClassesCodesEntity"
"18"|"Nhd Feature Type Codes"|"WIN"|"NHD_FEATURE_TYPE_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"The code that represents the NHD Feature type designation of a Monitoring Location (e.g. Estuary, CanalDitch, etc.)"|""|""|""|"NHD_FEATURE_TYPE_ID"|"FETYPC_NHD_FEATURE_TYPE_ID"|"codeTableBaseGrid"|"NhdFeatureTypeCodesEntity"
"19"|"Organization Status Codes"|"WIN"|"ORGANIZATION_STATUS_CODES"|"C"|"N"|"Y"|"01-JAN-2014 00:00:00"|"Describes the status of the organization in WIN. Examples of values are: Pending, Declined, Approved, etc."|""|""|""|"ORGANIZATION_STATUS_ID"|"OSTA_ORGANIZATION_STATUS_ID"|"codeTableBaseGrid"|"OrganizationStatusCodesEntity"
"20"|"Phones"|"WIN"|"PHONES"|"M"|"Y"|"N"|"01-JAN-2014 00:00:00"|"The Phone Number for the related ORGANIZATION or CONTACT entity."|""|""|""|"PHONE_KEY"|"PHO_PHONE_KEY"|""|""
"21"|"Phone Type Codes"|"WIN"|"PHONE_TYPE_CODES"|"C"|"N"|"Y"|"01-JAN-2014 00:00:00"|"Phone number categorie, i.e. Fax, Home, Mobile, Office, or Pager."|""|""|""|"PHONE_TYPE_ID"|"PHOTC_PHONE_TYPE_ID"|"codeTableBaseGrid"|"PhoneTypeCodesEntity"
"22"|"Preparation Method Codes"|"WIN"|"PREPARATION_METHOD_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"The method used to prepare the sample."|""|""|""|"PREPARATION_METHOD_ID"|"PRPMET_PREPARATION_METHOD_ID"|"codeTableBaseGrid"|"PreparationMethodCodesEntity"
"23"|"Primary Type Codes"|"WIN"|"PRIMARY_TYPE_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"The code that represents the primary type designation of a Monitoring Location"|""|""|""|"PRIMARY_TYPE_ID"|"PRITYP_PRIMARY_TYPE_ID"|"codeTableBaseGrid"|"PrimaryTypeCodesEntity"
"24"|"Projects"|"WIN"|"PROJECTS"|"M"|"Y"|"N"|"01-JAN-2014 00:00:00"|"The Water Quality Sampling and Monitoring Project information."|""|""|""|"PROJECT_KEY"|"PROJCT_PROJECT_KEY"|""|""
"25"|"Project Activities"|"WIN"|"PROJECT_ACTIVITIES"|"M"|"Y"|"N"|"01-JAN-2014 00:00:00"|"The middle table entity to represent the M:M relationship between the Monitoring Project and the Activity."|""|""|""|"PROJECT_ACTIVITY_KEY"|"PRJACT_PROJECT_ACTIVITY_KEY"|""|""
"26"|"Project Intended Uses"|"WIN"|"PROJECT_INTENDED_USES"|"M"|"Y"|"N"|"01-JAN-2014 00:00:00"|"The middle entity resolving the m-m relationship between the Intended-Use and the Project."|""|""|""|"PROJECT_INTENDED_USE_KEY"|""|""|""
"27"|"Win Organization Type Codes"|"WIN"|"WIN_ORGANIZATION_TYPE_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"The code that describes the type of organization e.g. Federal, State, FDEP, Local-County, Local-City, Local-WMD, etc."|""|""|""|"WIN_ORGANIZATION_TYPE_ID"|"WOTYC_WIN_ORGANIZATION_TYPE_ID"|"codeTableBaseGrid"|"WinOrganizationTypeCodesEntity"
"28"|"Win Queue Batch Jobs"|"WIN"|"WIN_QUEUE_BATCH_JOBS"|"M"|"R"|"N"|"01-JAN-2014 00:00:00"|"This entity is populated by internal WIN process needing to queue database job necessary to perform a WIN task (such as large export of data)."|""|""|""|"WIN_QUEUE_BATCH_JOB_KEY"|"WQBJOB_WIN_QUEUE_BATCH_JOB_KEY"|""|""
"29"|"Win Role Codes"|"WIN"|"WIN_ROLE_CODES"|"C"|"R"|"Y"|"01-JAN-2014 00:00:00"|"The type of WIN role for a WIN user/contact."|""|""|""|"WIN_ROLE_ID"|"WROLEC_WIN_ROLE_ID"|""|"WinRoleCodesEntity"
"30"|"Win Screen Codes"|"WIN"|"WIN_SCREEN_CODES"|"C"|"R"|"Y"|"01-JAN-2014 00:00:00"|"Identifies the WIN Application Screen."|""|""|""|"WIN_SCREEN_ID"|"WSCRNC_WIN_SCREEN_ID"|""|"WinScreenCodesEntity"
"31"|"Win System Var Codes"|"WIN"|"WIN_SYSTEM_VAR_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"The entity storing WIN System Parameters used in the WIN Application and Database. DEAR requested the possibility to store certain System Parameters in the database and not in code of the Application to make sure that those values are consistently used and can be reported at any time upon request. Examples of such parameters are: max number of record to be displayed in Production; max number of records that can be displayed in Production; max number of records that can be exported from Production; max number of records that can be displayed in the Warehouse; max number of records that can be exported from the Warehouse; Staging max number of days before purge; etc."|""|""|""|"WIN_SYSTEM_VAR_ID"|"WSYSVC_WIN_SYSTEM_VAR_ID"|"winSystemVarCodesGrid"|"WinSystemVarCodesEntity"
"32"|"Win Table Codes"|"WIN"|"WIN_TABLE_CODES"|"C"|"R"|"Y"|"01-JAN-2014 00:00:00"|"Stores the names of the Oracle Database Tables as used in the WIN Application."|""|""|""|"WIN_TABLE_ID"|"WTABLC_WIN_TABLE_ID"|""|"WinTableCodesEntity"
"33"|"Win Table Group Codes"|"WIN"|"WIN_TABLE_GROUP_CODES"|"C"|"R"|"Y"|"01-JAN-2014 00:00:00"|"Identify code tables group to facilitate an association between a specific code table and a code table manager."|""|""|""|"WIN_TABLE_GROUP_ID"|"WTABGC_WIN_TABLE_GROUP_ID"|""|""
"34"|"Win Table Group Tables"|"WIN"|"WIN_TABLE_GROUP_TABLES"|"C"|"R"|"N"|"01-JAN-2014 00:00:00"|"The middle-table between the WIN TABLE GROUP CODE and the WIN TABLE CODE."|""|""|""|"WIN_TABLE_GROUP_TABLE_KEY"|""|""|"WinTableGroupTablesEntity"
"35"|"Win Text Delimiter Codes"|"WIN"|"WIN_TEXT_DELIMITER_CODES"|"C"|"R"|"Y"|"01-JAN-2014 00:00:00"|"Stores the approved character used in WIN as delimiter (e.g. : |, - tab      etc.'). Delimiters are used in WIN particularly during import process from users file."|""|""|""|"WIN_TEXT_DELIMITER_ID"|"WDLMTC_WIN_TEXT_DELIMITER_ID"|""|"WinTextDelimiterCodesEntity"
"36"|"Win Users"|"WIN"|"WIN_USERS"|"M"|"Y"|"N"|"01-JAN-2014 00:00:00"|"A user of the WIN system who interacts with WIN for any action beyond publicly accessible reports. Beyond the above, a WIN user may be an Organization user responsible for providing data into WIN for the specific Organization (e.g. Data Loader, etc.) or a DEP user responsible to assist other users for a specific Organization (e.g. WIN Coordinator, etc.) or a DEP user responsible to analyze Water Quality data (e.g. Program Specific user), etc. The WIN Role will define the type of user. A WIN user may have multiple roles."|""|""|""|"WIN_USER_KEY"|"WUSR_WIN_USER_KEY"|""|""
"37"|"Wqx Datum Codes"|"WIN"|"WQX_DATUM_CODES"|"W"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"Crosswalk entity used for WQX to map the FDM.DATUM_CODES values to the WQX Domain list (i.e. Datum). This is necessary since the DATUM_CODES is in the FDM schema and not in the WIN schema."|""|""|""|"WQX_DATUM_ID"|"WQXDAT_WQX_DATUM_ID"|""|""
"38"|"Activities"|"WIN"|"ACTIVITIES"|"M"|"Y"|"N"|"01-JAN-2014 00:00:00"|"Description of Activities (Test DEAR)"|""|""|""|"ACTIVITY_KEY"|"ACTVY_ACTIVITY_KEY"|""|""
"39"|"Activities History"|"WIN"|"ACTIVITIES_HISTORY"|"M"|"N"|"N"|"01-JAN-2014 00:00:00"|"The history of water quality sampling activity performed by an organization at a certain site, date/time, matrix and water column."|""|""|""|"ACTIVITY_HISTORY_KEY"|"ACHIST_ACTIVITY_HISTORY_KEY"|""|""
"40"|"Activity Representative Codes"|"WIN"|"ACTIVITY_REPRESENTATIVE_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"The Code to describe if the site conditions on the sampling day and time reflected typical conditions for this site."|""|""|""|"ACTIVITY_REPRESENTATIVE_ID"|"ARP_ACTIVITY_REPRESENTATIVE_ID"|"codeTableBaseGrid"|"ActivityRepresentativeCodesEntity"
"41"|"Activity Type Codes"|"WIN"|"ACTIVITY_TYPE_CODES"|"C"|"N"|"Y"|"01-JAN-2014 00:00:00"|"The text describing the type of activity."|""|""|""|"ACTIVITY_TYPE_ID"|"ACTYPC_ACTIVITY_TYPE_ID"|"activityTypeCodesGrid"|"ActivityTypeCodesEntity"
"42"|"Addresses"|"WIN"|"ADDRESSES"|"M"|"Y"|"N"|"01-JAN-2014 00:00:00"|"The physical or postal address for the related organization or contact."|""|""|""|"ADDRESS_KEY"|"ADDRSS_ADDRESS_KEY"|""|""
"43"|"Address Type Codes"|"WIN"|"ADDRESS_TYPE_CODES"|"C"|"N"|"Y"|"01-JAN-2014 00:00:00"|"The Address Type categorizes an address as either location, shipping, or mailing address."|""|""|""|"ADDRESS_TYPE_ID"|"ADDTYP_ADDRESS_TYPE_ID"|"codeTableBaseGrid"|"AddressTypeCodesEntity"
"44"|"Analysis Method Codes"|"WIN"|"ANALYSIS_METHOD_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"Identifies the Analysis (Analytical) Method used for the sample."|""|""|""|"ANALYSIS_METHOD_ID"|"ANLMTC_ANALYSIS_METHOD_ID"|"codeTableBaseGrid"|"AnalysisMethodCodesEntity"
"45"|"Analyte Group Codes"|"WIN"|"ANALYTE_GROUP_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"The Group of the DEP defined Analyte items."|""|""|""|"ANALYTE_GROUP_ID"|"ANLGRC_ANALYTE_GROUP_ID"|"codeTableBaseGrid"|"AnalyteGroupCodesEntity"
"46"|"Analyte Primary Codes"|"WIN"|"ANALYTE_PRIMARY_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"The DEP standardized name of the object, property, or substance as generated from the Analyte Id SVL after the data provider chooses a specific value in the SVL List which correspond to the provided AnalyteName. Contains the DEP defined Analyte items."|""|""|""|"ANALYTE_PRIMARY_KEY"|"ANLPRC_ANALYTE_PRIMARY_KEY"|"analytePrimaryCodesGrid"|"AnalytePrimaryCodesEntity"
"47"|"Anomalies"|"WIN"|"ANOMALIES"|"M"|"Y"|"N"|"01-JAN-2014 00:00:00"|"An Anomaly indicates that suspicious data was found by the initiator of the 'Anomaly Record'. The initial anomaly request will be consequently responded by the data provider (DPA, DL or MLM role) and it will be finalized by either the original Anomaly Initiator or by the WA (or WC if responsible for that organization)."|""|""|""|"ANOMALY_KEY"|"ANOMLY_ANOMALY_KEY"|""|""
"48"|"Anomaly Resolution Codes"|"WIN"|"ANOMALY_RESOLUTION_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"The type/status of the Resolution provided to the Anomaly (e.g. Resolved, Non Responsive, ... etc.)."|""|"KUMAR_A"|"05-FEB-2024 17:40:09"|"ANOMALY_RESOLUTION_ID"|"ANRESL_ANOMALY_RESOLUTION_ID"|"codeTableBaseGrid"|"AnomalyResolutionCodesEntity"
"49"|"Anomaly Response Codes"|"WIN"|"ANOMALY_RESPONSE_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"The type/status of the Response provided to the Anomaly (e.g. Waiting on Data Provider, ... etc.)."|""|""|""|"ANOMALY_RESPONSE_ID"|"ANRESP_ANOMALY_RESPONSE_ID"|"codeTableBaseGrid"|"AnomalyResponseCodesEntity"
"50"|"Anomaly Type Codes"|"WIN"|"ANOMALY_TYPE_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"The Type of the Anomaly (e.g. Monitoring Location Conflict; Lat/Long review; Result Value review; etc.)."|""|""|""|"ANOMALY_TYPE_ID"|"ANTYPE_ANOMALY_TYPE_ID"|"anomalyTypeCodeGrid"|"AnomalyTypeCodesEntity"
"51"|"Aquifer Confinement Codes"|"WIN"|"AQUIFER_CONFINEMENT_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"Describes the Aquifer Confinement of the open interval of the well."|""|""|""|"AQUIFER_CONFINEMENT_ID"|"AQUCNC_AQUIFER_CONFINEMENT_ID"|"codeTableBaseGrid"|"AquiferConfinementCodesEntity"
"52"|"Audits"|"WIN"|"AUDITS"|"M"|"Y"|"N"|"01-JAN-2014 00:00:00"|"The Environmental Audit performed by the Auditor on the Auditee and the related Report and affected outcome."|""|""|""|"AUDIT_KEY"|"AUDITS_AUDIT_KEY"|""|""
"53"|"Audit Analyte Groups"|"WIN"|"AUDIT_ANALYTE_GROUPS"|"M"|"Y"|"N"|"01-JAN-2014 00:00:00"|"Middle Entity table to allow for m-m relationship between the Audit and the Analyte Group Code entities."|""|""|""|"AUDIT_ANALYTE_GROUP_KEY"|"ADANGR_AUDIT_ANALYTE_GROUP_KEY"|""|""
"54"|"Audit Censored Results"|"WIN"|"AUDIT_CENSORED_RESULTS"|"M"|"Y"|"N"|"01-JAN-2014 00:00:00"|"Represent the Result set that was censured by an Audit. It is also used as a middle table to express the m-m relationship between the Results and the Audit Query entities."|""|""|""|"AUDIT_CENSORED_RESULT_KEY"|""|""|""
"55"|"Audit Purpose Codes"|"WIN"|"AUDIT_PURPOSE_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"The purpose of the Audit (e.g. IWR Audit, etc.)"|""|""|""|"AUDIT_PURPOSE_ID"|"ADPURP_AUDIT_PURPOSE_ID"|"codeTableBaseGrid"|"AuditPurposeCodesEntity"
"56"|"Audit Queries"|"WIN"|"AUDIT_QUERIES"|"M"|"Y"|"N"|"01-JAN-2014 00:00:00"|"Authorized users will access this entity to create and/or view an Audit Query that uses filters to define a censored subset of data for an audit described on the 'Audit Detail' screen."|""|""|""|"AUDIT_QUERY_KEY"|"AUDQRY_AUDIT_QUERY_KEY"|""|""
"57"|"Audit Query Analytes"|"WIN"|"AUDIT_QUERY_ANALYTES"|"M"|"Y"|"N"|"01-JAN-2014 00:00:00"|"Middle table to allow for m-m relationship between the Audit Query and the Analyte Code entities."|""|""|""|"AUDIT_QUERY_ANALYTE_KEY"|"AUQRAN_AUDIT_QUERY_ANALYTE_KEY"|""|""
"58"|"Audit Query Decisions"|"WIN"|"AUDIT_QUERY_DECISIONS"|"M"|"Y"|"N"|"01-JAN-2014 00:00:00"|"Middle Entity table to allow for m-m relationship between the Audit Query and the Censor Decision Code entities."|""|""|""|"AUDIT_QUERY_DECISION_KEY"|""|""|""
"59"|"Audit Type Codes"|"WIN"|"AUDIT_TYPE_CODES"|"C"|"N"|"Y"|"01-JAN-2014 00:00:00"|"The Type of the Audit (e.g. Lab, etc.)"|""|""|""|"AUDIT_TYPE_ID"|"ADTYPE_AUDIT_TYPE_ID"|"codeTableBaseGrid"|"AuditTypeCodesEntity"
"60"|"Censor Decision Codes"|"WIN"|"CENSOR_DECISION_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"The Decision as indicated by the Censor about an Audit Censored Subset as defined by the Audit Query. Examples may be 'Data is not usable;  Data is not usable for WQS development; etc.)."|""|""|""|"CENSOR_DECISION_ID"|"CNDECC_CENSOR_DECISION_ID"|"codeTableBaseGrid"|"CensorDecisionCodesEntity"
"61"|"Code Change Requests"|"WIN"|"CODE_CHANGE_REQUESTS"|"M"|"Y"|"N"|"01-JAN-2014 00:00:00"|"The log of the Code Value requests and final decisions about new and existing values from the WIN Lists (SVL - Standard Value Lists)."|""|""|""|"CODE_CHANGE_REQUEST_KEY"|"CDCHNG_CODE_CHANGE_REQUEST_KEY"|""|""
"62"|"Config Imports"|"WIN"|"CONFIG_IMPORTS"|"S"|"Y"|"N"|"01-JAN-2014 00:00:00"|"Store the Summary of an Organization Configuration settings specific to a dataset import."|""|""|""|"CONFIG_IMPORT_KEY"|"CFIMPT_CONFIG_IMPORT_KEY"|""|""
"63"|"Config Imp Columns"|"WIN"|"CONFIG_IMP_COLUMNS"|"S"|"Y"|"N"|"01-JAN-2014 00:00:00"|"Store the Detail Organization Configuration settings specific to each column/attribute related to a dataset Import."|""|""|""|"CONFIG_IMP_COLUMN_KEY"|"CFIMCL_CONFIG_IMP_COLUMN_KEY"|""|""
"64"|"Config Imp Translations"|"WIN"|"CONFIG_IMP_TRANSLATIONS"|"S"|"Y"|"N"|"01-JAN-2014 00:00:00"|"Store the Translation specific to each Organization value matching the Standard Value List attributes related to a certain dataset to be uploaded. Record from this entity must be deleted if the referenced Code Table in Production has been updated with an 'end date' value entered to obsolete a record."|""|""|""|"CONFIG_IMP_TRANSLATION_KEY"|"CONFIG_IMP_TRANSLATION_KEY"|""|""
"65"|"Projects History"|"WIN"|"PROJECTS_HISTORY"|"M"|"N"|"N"|"01-JAN-2014 00:00:00"|"The history of the Water Quality Sampling and Monitoring Project information."|""|""|""|"PROJECT_HISTORY_KEY"|"PRHIST_PROJECT_HISTORY_KEY"|""|""
"66"|"Analyte Synonym Codes"|"WIN"|"ANALYTE_SYNONYM_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"Contains DEP defined synonym for the Analyte items. It includes the unique identifier for an Analyte name defined by DEP (Analyte ID). This value will be used to define the relationship between the 'primary name' and the 'synonym name'."|""|""|""|"ANALYTE_SYNONYM_KEY"|"ANLSYN_ANALYTE_SYNONYM_KEY"|"analyteSynonymCodesGrid"|"AnalyteSynonymCodesEntity"
"67"|"Spring Magnitude Codes"|"WIN"|"SPRING_MAGNITUDE_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"Discharge measurements category (based on Rosenau 1977) for springs or groups of springs."|""|""|""|"SPRING_MAGNITUDE_ID"|"WSMC_SPRING_MAGNITUDE_ID"|"codeTableBaseGrid"|"SpringMagnitudeCodesEntity"
"68"|"Stg Dataset Imports"|"WIN"|"STG_DATASET_IMPORTS"|"S"|"Y"|"N"|"01-JAN-2014 00:00:00"|"The metadata information related to each Dataset which was either uploaded into Staging or imported from Production for correction."|""|""|""|"STG_DATASET_IMPORT_KEY"|"SDSIMP_STG_DATASET_IMPORT_KEY"|""|""
"69"|"Win Organization Contacts"|"WIN"|"WIN_ORGANIZATION_CONTACTS"|"M"|"Y"|"N"|"01-JAN-2014 00:00:00"|"Contains organization contacts."|""|""|""|"ORGANIZATION_CONTACT_KEY"|"WORCN_ORGANIZATION_CONTACT_KEY"|""|""
"70"|"Method Speciation Codes"|"WIN"|"METHOD_SPECIATION_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"Identifies the chemical speciation in which the measured result is expressed."|""|""|""|"METHOD_SPECIATION_ID"|"METSPC_METHOD_SPECIATION_ID"|"codeTableBaseGrid"|"MethodSpeciationCodesEntity"
"71"|"Analyte Resultchoice Codes"|"WIN"|"ANALYTE_RESULTCHOICE_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"Certain Analytes can provide 'textual' results (instead of numerical). In these cases, the provided text must be checked against a list of standard values which are held in the Result ChoiceList Code entity."|""|""|""|"ANALYTE_CHOICELIST_ID"|"ANLRCC_ANALYTE_CHOICELIST_ID"|"analyteResultchoiceCodesGrid"|"AnalyteResultchoiceCodesEntity"
"72"|"Result Value Datatype Codes"|"WIN"|"RESULT_VALUE_DATATYPE_CODES"|"C"|"N"|"Y"|"01-JAN-2014 00:00:00"|"Acceptable Data-Type for the Result Value for the specified Analyte (e.g. integer, numeric, choice list, free text)."|""|""|""|"RESULT_VALUE_DATATYPE_ID"|"RSVALT_RESULT_VALUE_TYPE_ID"|"codeTableBaseGrid"|"ResultValueDatatypeCodesEntity"
"73"|"Well Type Codes"|"WIN"|"WELL_TYPE_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"Description of current use of  well (e.g., Drainage, Recharge, Industrial Supply, Irrigation,  Private Drinking Water and Other)"|""|""|""|"WELL_TYPE_ID"|"WTYPC_WELL_TYPE_ID"|"codeTableBaseGrid"|"WellTypeCodesEntity"
"74"|"Nhd Reach Codes"|"WIN"|"SDE_NHD_REACHCROSSREF_CURR_VW"|"C"|"Y"|"N"|"01-JAN-2014 00:00:00"|"Contains NHD Reach Code Information from the SDE schema used for NHD Reassign."|""|""|""|"OBJECTID"|""|""|""
