Season,Date,Region,Harvest,Reef,ReefID,CollectionName,Oysters_#/0.0625m^2,Barnacles_#/0.0625m^2,Mussels_#/0.0625m^2,Clams_#/0.0625m^2,PorcelainCrab_#/0.0625m^2,OtherGastropods,Total_#/0.0625m^2,Location,Notes
S14,7/3/2014,Salt Run,Y,SR1,SR1,S14SR1R2,56,2,0,NA,4,NA,62,Ridge,
S14,7/3/2014,Salt Run,Y,SR1,SR1,S14SR1R7,48,1,1,NA,3,NA,53,Ridge,
S14,7/3/2014,Salt Run,Y,SR2,SR2,S14SR2R1 ,28,1,0,NA,0,NA,29,Ridge,
S14,7/3/2014,Salt Run,Y,SR2,SR2,S14SR2R7,48,0,0,NA,0,NA,48,Ridge,
S14,7/3/2014,Salt Run,N,SR4,SR4,S14SR4R16,101,2,20,NA,2,NA,125,Ridge,
S14,7/3/2014,Salt Run,N,SR4,SR4,S14SR4R5,141,4,31,NA,4,NA,180,Ridge,
S14,7/3/2014,Salt Run,N,SR5,SR5,S14SR5R2,101,0,13,NA,0,NA,114,Ridge,
S14,7/3/2014,Salt Run,N,SR5,SR5,S14SR5R5,96,0,7,1,0,NA,104,Ridge,
S14,7/8/2014,Butler Beach,N,MC1,MC1,S14MC1R20,46,3,3,NA,0,NA,52,Ridge,
S14,7/8/2014,Butler Beach,N,MC1,MC1,S14MC1R29,109,3,1,NA,1,NA,114,Ridge,
S14,7/8/2014,Butler Beach,N,MC2,MC2,S14MC2R19,78,0,1,NA,0,NA,79,Ridge,
S14,7/8/2014,Butler Beach,N,MC2,MC2,S14MC2R5,51,8,1,NA,0,NA,60,Ridge,
S14,7/8/2014,Fort Matanzas,Y,FM1 ,FM1 ,S14FM1R12,77,2,1,NA,1,NA,81,Ridge,
S14,7/8/2014,Fort Matanzas ,Y,CO ,CO ,S14COR15,54,0,3,NA,0,NA,57,Ridge,
S14,7/8/2014,Fort Matanzas ,Y,CO ,CO ,S14COR18,115,2,5,NA,0,NA,122,Ridge,
S14,7/8/2014,Fort Matanzas ,Y,FM1,FM1,S14FM1R10,77,4,3,NA,3,NA,87,Ridge,
S14,10/30/2014,Guana River,N,GR2,GR2,S14GR2E2,62,125,4,NA,0,Present,191,Lower Edge,
S14,10/30/2014,Guana River,N,GR2,GR2,S14GR2E5,58,196,0,NA,0,Present,254,Lower Edge,
S14,10/30/2014,Guana River,N,GR2,GR2,S14GR2R11,46,0,24,NA,1,Absent,71,Ridge,
S14,10/30/2014,Guana River,N,GR2,GR2,S14GR2R29,156,13,20,NA,0,Present,189,Ridge,
S14,10/30/2014,Guana River,N,GR3,GR3,S14GR3E1,30,76,0,NA,13,Present,119,Lower Edge,
S14,10/30/2014,Guana River,N,GR3,GR3,S14GR3E2,19,27,1,NA,11,Absent,58,Lower Edge,
S14,10/30/2014,Guana River,N,GR3,GR3,S14GR3R2,111,11,8,NA,0,Absent,130,Ridge,
S14,10/30/2014,Guana River,N,GR3,GR3,S14GR3R3,193,16,13,NA,10,Present,232,Ridge,
S14,10/31/2014,Tolomato River,Y,TR3,TR3,S14TR3E1,38,49,0,NA,1,Absent,88,Lower Edge,
S14,10/31/2014,Tolomato River,Y,TR3,TR3,S14TR3E3,111,42,1,NA,3,Present,157,Lower Edge,
S14,10/31/2014,Tolomato River,Y,TR3,TR3,S14TR3R10,118,0,12,NA,0,Absent,130,Ridge,
S14,10/31/2014,Tolomato River,Y,TR3,TR3,S14TR3R2,139,7,16,4,5,Present,171,Ridge,
W15,1/15/2015,Fort Matanzas,Y,CO,CO,W15COR17,127,0,4,NA,0,NA,131,Ridge,
W15,1/15/2015,Fort Matanzas,Y,CO,CO,W15COR25,137,6,12,NA,0,NA,155,Ridge,
W15,1/15/2015,Fort Matanzas,Y,CO,CO,W15COR8,58,23,9,NA,0,NA,90,Ridge,
W15,1/15/2015,Fort Matanzas,Y,FM1,FM1,W15FM1R15,105,12,7,NA,0,Present,124,Ridge,
W15,1/15/2015,Fort Matanzas,Y,FM1,FM1,W15FM1R2,87,3,3,NA,0,Present,93,Ridge,
W15,1/15/2015,Fort Matanzas,Y,FM1,FM1,W15FM1R6,19,6,0,NA,0,Present,25,Ridge,
W15,1/15/2015,Fort Matanzas,Y,FM4,FM4,W15FM4R15,101,0,4,NA,0,Present,105,Ridge,
W15,1/15/2015,Fort Matanzas,Y,FM4,FM4,W15FM4R23,131,0,7,NA,0,Present,138,Ridge,
W15,1/15/2015,Fort Matanzas,Y,FM4,FM4,W15FM4R25,181,9,23,NA,0,Present,213,Ridge,
W15,1/16/2015,Butler Beach,N,MC1,MC1,W15MC1R10,64,1,2,NA,0,Absent,67,Ridge,
W15,1/16/2015,Butler Beach,N,MC1,MC1,W15MC1R12,NA,NA,NA,NA,NA,NA,NA,Ridge,Sample lost 
W15,1/16/2015,Butler Beach,N,MC1,MC1,W15MC1R13,89,2,2,1,0,Absent,94,Ridge,
W15,1/16/2015,Butler Beach,N,MC2,MC2,W15MC2R1,81,1,2,NA,0,NA,84,Ridge,
W15,1/16/2015,Butler Beach,N,MC2,MC2,W15MC2R27,117,0,7,NA,0,NA,124,Ridge,
W15,1/16/2015,Butler Beach,N,MC2,MC2,W15MC2R41,70,2,4,NA,0,NA,76,Ridge,
W15,1/16/2015,Fort Matanzas,Y,FM206,FM206,W15FM206R14,51,2,2,NA,0,NA,55,Ridge,
W15,1/16/2015,Fort Matanzas,Y,FM206,FM206,W15FM206R17,54,18,14,1,0,NA,87,Ridge,
W15,1/16/2015,Fort Matanzas,Y,FM206,FM206,W15FM206R23,229,68,22,4,0,NA,323,Ridge,
W15,1/16/2015,Fort Matanzas,Y,FM3,FM3,W15FM3R16,115,0,20,NA,0,NA,135,Ridge,
W15,1/16/2015,Fort Matanzas,Y,FM3,FM3,W15FM3R5,95,9,35,NA,0,NA,139,Ridge,
W15,1/16/2015,Fort Matanzas,Y,FM3,FM3,W15FM3R8,88,2,8,NA,0,NA,98,Ridge,
W15,1/27/2015,Salt Run,Y,SR2,SR2,W15SR2R21,54,3,1,NA,0,NA,58,Ridge,
W15,1/27/2015,Salt Run,Y,SR2,SR2,W15SR2R42,26,0,0,NA,0,NA,26,Ridge,
W15,1/27/2015,Salt Run,Y,SR2,SR2,W15SR2R50,42,28,0,NA,0,NA,70,Ridge,
W15,1/27/2015,Salt Run,N,SR4,SR4,W15SR4R19,81,3,13,NA,14,Absent,111,Ridge,
W15,1/27/2015,Salt Run,N,SR4,SR4,W15SR4R20,120,4,17,NA,7,Present,148,Ridge,
W15,1/27/2015,Salt Run,N,SR4,SR4,W15SR4R5,128,51,19,NA,7,Absent,205,Ridge,
W15,1/27/2015,Salt Run,N,SR5,SR5,W15SR5R3,213,20,31,NA,26,Absent,290,Ridge,
W15,1/27/2015,Salt Run,N,SR5,SR5,W15SR5R5,232,7,36,NA,26,Absent,301,Ridge,
W15,1/27/2015,Salt Run,N,SR5,SR5,W15SR5R8,139,28,23,NA,24,Absent,214,Ridge,
W15,1/27/2015,Salt Run,N,SR7,SR7,W15SR7R12,85,216,50,NA,0,NA,351,Ridge,
W15,1/27/2015,Salt Run,N,SR7,SR7,W15SR7R18,30,50,15,NA,0,NA,95,Ridge,
W15,1/27/2015,Salt Run,N,SR7,SR7,W15SR7R5,62,64,17,NA,2,NA,145,Ridge,
W15,1/27/2015,Salt Run,N,SR8,SR8,W15SR8R1,81,57,9,NA,0,NA,147,Ridge,
W15,1/27/2015,Salt Run,N,SR8,SR8,W15SR8R15,26,14,8,NA,0,NA,48,Ridge,
W15,1/27/2015,Salt Run,N,SR8,SR8,W15SR8R17,48,34,0,NA,0,NA,82,Ridge,
W15,1/28/2015,Salt Run,Y,SR1,SR1,W15SR1R1,69,2,1,NA,0,Absent,72,Ridge,
W15,1/28/2015,Salt Run,Y,SR1,SR1,W15SR1R2,30,1,0,NA,0,Present,31,Ridge,
W15,1/28/2015,Salt Run,Y,SR1,SR1,W15SR1R4,24,0,0,NA,0,Absent,24,Ridge,
W15,1/28/2015,Salt Run,Y,SR3,SR3,W15SR3R11,40,5,7,NA,2,NA,54,Ridge,
W15,1/28/2015,Salt Run,Y,SR3,SR3,W15SR3R19,36,1,4,NA,1,NA,42,Ridge,
W15,1/28/2015,Salt Run,Y,SR3,SR3,W15SR3R9,36,2,3,NA,2,NA,43,Ridge,
W15,1/28/2015,Salt Run,Y,SR6,SR6,W15SR6R25,28,1,12,NA,0,NA,41,Ridge,
W15,1/28/2015,Salt Run,Y,SR6,SR6,W15SR6R29,30,0,8,NA,0,NA,38,Ridge,
W15,1/28/2015,Salt Run,Y,SR6,SR6,W15SR6R6,7,0,0,NA,0,NA,7,Ridge,
W15,1/28/2015,Salt Run,Y,SR9,SR9,W15SR9R1,19,9,0,1,0,Absent,29,Ridge,
W15,1/28/2015,Salt Run,Y,SR9,SR9,W15SR9R2,14,4,0,NA,0,Absent,18,Ridge,
W15,1/28/2015,Salt Run,Y,SR9,SR9,W15SR9R9,19,0,0,NA,0,Absent,19,Ridge,
W15,1/29/2015,Guana River,N,GR6,GR6,W15GR6R5,79,2,1,NA,0,Absent,82,Ridge,
W15,1/29/2015,Guana River,N,GR6,GR6,W15GR6R7,151,2,5,1,1,Absent,160,Ridge,
W15,1/29/2015,Guana River,N,GR6,GR6,W15GR6R9,208,3,5,NA,2,Absent,218,Ridge,
W15,1/29/2015,Guana River,N,GR7,GR7,W15GR7R12,35,12,3,NA,0,Absent,50,Ridge,
W15,1/29/2015,Guana River,N,GR7,GR7,W15GR7R14,49,5,1,NA,0,Absent,55,Ridge,
W15,1/29/2015,Guana River,N,GR7,GR7,W15GR7R23,86,23,9,NA,1,Present,119,Ridge,
W15,1/29/2015,Guana River,N,GR8,GR8,W15GR8R10,206,1,5,NA,0,Present,212,Ridge,
W15,1/29/2015,Guana River,N,GR8,GR8,W15GR8R34,311,14,12,NA,1,Present,338,Ridge,
W15,1/29/2015,Guana River,N,GR8,GR8,W15GR8R6,122,14,7,NA,0,Present,143,Ridge,
W15,1/30/2015,Guana River,N,GR1,GR1,W15GR1R7,54,73,17,NA,0,Absent,144,Ridge,
W15,1/30/2015,Guana River,N,GR1,GR1,W15GR1R8,60,7,29,NA,0,Absent,96,Ridge,
W15,1/30/2015,Guana River,N,GR1,GR1,W15GR1R9,59,31,34,NA,0,Absent,124,Ridge,
W15,1/30/2015,Guana River,N,GR2,GR2,W15GR2R2,106,12,20,1,0,Absent,139,Ridge,
W15,1/30/2015,Guana River,N,GR2,GR2,W15GR2R28,38,0,8,1,0,Absent,47,Ridge,
W15,1/30/2015,Guana River,N,GR2,GR2,W15GR2R4,51,0,7,NA,0,Absent,58,Ridge,
W15,1/30/2015,Guana River,N,GR4,GR4,W15GR4R2,97,35,4,NA,0,Absent,136,Ridge,
W15,1/30/2015,Guana River,N,GR4,GR4,W15GR4R5,87,27,29,NA,0,Absent,143,Ridge,
W15,1/30/2015,Guana River,N,GR4,GR4,W15GR4R6,84,5,30,NA,0,Absent,119,Ridge,
W15,1/30/2015,Guana River,N,GR5,GR5,W15GR5R20,102,47,12,NA,0,Present,161,Ridge,
W15,1/30/2015,Guana River,N,GR5,GR5,W15GR5R24,104,39,9,NA,0,Present,152,Ridge,
W15,1/30/2015,Guana River,N,GR5,GR5,W15GR5R3,77,12,10,NA,0,Absent,99,Ridge,
W15,2/10/2015,St Augustine,N,SA22,SA22,W15SA22R10,43,2,4,1,0,Absent,50,Ridge,
W15,2/10/2015,St Augustine,N,SA22,SA22,W15SA22R17,70,0,7,NA,0,Absent,77,Ridge,
W15,2/10/2015,St Augustine,N,SA22,SA22,W15SA22R8,138,0,14,1,0,Absent,153,Ridge,
W15,2/10/2015,St Augustine,N,SA7A,SA7A,W15SA7AR23,108,6,26,NA,0,Absent,140,Ridge,
W15,2/10/2015,St Augustine,N,SA7A,SA7A,W15SA7AR25,88,12,6,NA,0,Absent,106,Ridge,
W15,2/10/2015,St Augustine,N,SA7A,SA7A,W15SA7AR6,78,5,9,NA,0,Absent,92,Ridge,
W15,2/10/2015,St Augustine,N,SA9,SA9,W15SA9R11,144,7,4,NA,0,Absent,155,Ridge,
W15,2/10/2015,St Augustine,N,SA9,SA9,W15SA9R7,108,0,4,NA,0,Present,112,Ridge,
W15,2/10/2015,St Augustine,N,SA9,SA9,W15SA9R9,57,3,0,NA,0,Absent,60,Ridge,
W15,2/11/2015,St Augustine,N,SA5A,SA5A,W15SA5AR1,98,10,16,NA,0,Absent,124,Ridge,
W15,2/11/2015,St Augustine,N,SA5A,SA5A,W15SA5AR2,110,6,18,NA,0,Absent,134,Ridge,
W15,2/11/2015,St Augustine,N,SA5B,SA5B,W15SA5BR1,50,0,3,NA,0,Absent,53,Ridge,
W15,2/11/2015,St Augustine,N,SA5B,SA5B,W15SA5BR3,116,6,6,NA,0,Absent,128,Ridge,
W15,2/18/2015,Guana River ,N,GR2,GR2,W15GR2E1,183,331,3,NA,2,Present,519,Lower Edge,
W15,2/18/2015,Guana River ,N,GR2,GR2,W15GR2E13,111,49,0,12,0,Absent,172,Lower Edge,
W15,2/18/2015,Guana River ,N,GR2,GR2,W15GR2E5,103,300,5,2,4,Present,414,Lower Edge,
W15,2/18/2015,Guana River ,N,GR2,GR2,W15GR2R17,62,0,8,NA,0,Absent,70,Ridge,
W15,2/18/2015,Guana River ,N,GR2,GR2,W15GR2R20,29,1,7,1,1,Absent,39,Ridge,
W15,2/18/2015,Guana River ,N,GR2,GR2,W15GR2R27,140,40,32,NA,0,Present,212,Ridge,
W15,2/18/2015,Guana River ,N,GR3,GR3,W15GR3E4,84,106,1,NA,7,Absent,198,Lower Edge,
W15,2/18/2015,Guana River ,N,GR3,GR3,W15GR3E6,13,8,0,NA,0,Absent,21,Lower Edge,
W15,2/18/2015,Guana River ,N,GR3,GR3,W15GR3R3,47,2,2,NA,0,Absent,51,Ridge,
W15,2/18/2015,Guana River ,N,GR3,GR3,W15GR3R7,198,21,4,NA,5,Absent,228,Ridge,
W15,2/18/2015,Tolomato River,Y,TR3,TR3,W15TR3E3,165,7,7,NA,1,Absent,180,Lower Edge,
W15,2/18/2015,Tolomato River,Y,TR3,TR3,W15TR3E5,68,11,0,NA,2,Absent,81,Lower Edge,
W15,2/18/2015,Tolomato River,Y,TR3,TR3,W15TR3R10,50,1,6,NA,2,Absent,59,Ridge,
W15,2/18/2015,Tolomato River,Y,TR3,TR3,W15TR3R5,73,1,5,NA,1,Absent,80,Ridge,
S15,6/9/2015,Fort Matanzas,Y,FMNR6,FMNR6,S15FNR6R1,36,2,11,0,0,Absent,49,Ridge,
S15,6/9/2015,Fort Matanzas,Y,FMNR6,FMNR6,S15FNR6R2,34,3,1,0,0,Absent,38,Ridge,
S15,6/9/2015,Fort Matanzas,Y,FMNR6,FMNR6,S15FNR6R4,13,0,0,0,0,Absent,13,Ridge,
S15,6/9/2015,Pellicer Flats,N,PF3A,PF3A,S15PF3AR0,309,25,70,0,0,Absent,404,Ridge,
S15,6/9/2015,Pellicer Flats,N,PF3A,PF3A,S15PF3AR3,124,1,0,0,0,Absent,125,Ridge,
S15,6/9/2015,Pellicer Flats,N,PF3A,PF3A,S15PF3AR7,240,22,57,0,0,Absent,319,Ridge,
S15,6/10/2015,Butler Beach,N,BBNR1,BBNR1,S15BBNR1R0,54,10,1,0,0,Absent,65,Ridge,
S15,6/10/2015,Butler Beach,N,BBNR1,BBNR1,S15BBNR1R4,85,1,1,0,0,Absent,87,Ridge,
S15,6/10/2015,Butler Beach,N,BBNR1,BBNR1,S15BBNR1R5,69,0,3,0,0,Absent,72,Ridge,
S15,6/10/2015,Tolomato River,Y,TRNR1,TRNR1,S15TRNR1R0,81,4,3,0,0,Absent,88,Ridge,
S15,6/10/2015,Tolomato River,Y,TRNR1,TRNR1,S15TRNR1R17,43,0,1,0,0,Absent,44,Ridge,
S15,6/10/2015,Tolomato River,Y,TRNR1,TRNR1,S15TRNR1R22,31,0,0,0,0,Absent,31,Ridge,
S15,6/10/2015,Tolomato River,N,VBNR1,VBNR1,S15VBNR1R3,110,34,5,0,0,Absent,149,Ridge,
S15,6/10/2015,Tolomato River,N,VBNR1,VBNR1,S15VBNR1R4,68,3,3,0,0,Absent,74,Ridge,"data sheet not labeled, basing quad on percent live cover"
S15,6/10/2015,Tolomato River,N,VBNR1,VBNR1,S15VBNR1R6,49,0,3,1,0,Absent,53,Ridge,"data sheet not labeled, basing quad on percent live cover"
S15,6/22/2015,Butler Beach,N,MC1,MC1,S15MC1R13,131,3,3,0,2,Absent,139,Ridge,
S15,6/22/2015,Butler Beach,N,MC1,MC1,S15MC1R4,149,6,8,1,0,Absent,164,Ridge,
S15,6/22/2015,Butler Beach,N,MC1,MC1,S15MC1R8,104,5,5,0,3,Absent,117,Ridge,
S15,6/22/2015,Butler Beach,N,MC2,MC2,S15MC2R1,86,1,0,0,0,Absent,87,Ridge,
S15,6/22/2015,Butler Beach,N,MC2,MC2,S15MC2R19,92,1,1,1,0,Absent,95,Ridge,
S15,6/22/2015,Butler Beach,N,MC2,MC2,S15MC2R8,63,1,2,0,0,Absent,66,Ridge,
S15,6/22/2015,Fort Matanzas,Y,FM1,FM1,S15FM1R14,49,6,1,0,0,Absent,56,Ridge,
S15,6/22/2015,Fort Matanzas,Y,FM1,FM1,S15FM1R15,37,6,3,0,0,Absent,46,Ridge,
S15,6/22/2015,Fort Matanzas,Y,FM1,FM1,S15FM1R7,77,14,7,0,0,Absent,98,Ridge,
S15,6/22/2015,Fort Matanzas,Y,FM3,FM3A,S15FM3R17,67,6,8,0,0,Absent,81,Ridge,
S15,6/22/2015,Fort Matanzas,Y,FM3,FM3A,S15FM3R2,91,15,9,0,0,Absent,115,Ridge,
S15,6/22/2015,Fort Matanzas,Y,FM3,FM3A,S15FM3R9,38,1,0,0,0,Absent,39,Ridge,
S15,6/23/2015,Salt Run,Y,SR1,SR1,S15SR1R0,102,12,2,0,0,Absent,116,Ridge,
S15,6/23/2015,Salt Run,Y,SR1,SR1,S15SR1R12,27,1,0,0,0,Absent,28,Ridge,
S15,6/23/2015,Salt Run,Y,SR1,SR1,S15SR1R14,32,0,0,0,0,Absent,32,Ridge,
S15,6/23/2015,Salt Run,N,SR10,SR10,S15SR10R15,107,36,0,0,0,Absent,143,Ridge,
S15,6/23/2015,Salt Run,N,SR10,SR10,S15SR10R17,52,36,0,0,0,Absent,88,Ridge,
S15,6/23/2015,Salt Run,N,SR10,SR10,S15SR10R6,121,36,0,0,0,Absent,157,Ridge,
S15,6/23/2015,Salt Run,Y,SR2,SR2,S15SR2R12,39,4,0,0,0,Absent,43,Ridge,
S15,6/23/2015,Salt Run,Y,SR2,SR2,S15SR2R24,83,20,0,0,0,Absent,103,Ridge,
S15,6/23/2015,Salt Run,Y,SR2,SR2,S15SR2R4,33,0,0,0,0,Absent,33,Ridge,
S15,6/23/2015,Salt Run,N,SR4,SR4,S15SR4R1,61,5,23,1,1,Absent,91,Ridge,
S15,6/23/2015,Salt Run,N,SR4,SR4,S15SR4R12,115,6,11,0,0,Absent,132,Ridge,
S15,6/23/2015,Salt Run,N,SR4,SR4,S15SR4R7,116,24,29,5,1,Absent,175,Ridge,
S15,6/23/2015,Salt Run,N,SR5,SR5,S15SR5R4,132,2,27,2,4,Absent,167,Ridge,
S15,6/23/2015,Salt Run,N,SR5,SR5,S15SR5R5,154,3,32,2,5,Absent,196,Ridge,
S15,6/23/2015,Salt Run,N,SR5,SR5,S15SR5R7,81,0,13,3,0,Absent,97,Ridge,
S15,6/23/2015,Salt Run,N,SR8,SR8,S15SR8R10,52,30,0,0,0,Absent,82,Ridge,
S15,6/23/2015,Salt Run,N,SR8,SR8,S15SR8R2,124,32,1,0,0,Absent,157,Ridge,
S15,6/23/2015,Salt Run,N,SR8,SR8,S15SR8R5,75,59,0,0,0,Absent,134,Ridge,
S15,6/24/2015,Tolomato River,N,TR10,TR10,S15TR10R0,78,39,3,0,1,Absent,121,Ridge,
S15,6/24/2015,Tolomato River,N,TR10,TR10,S15TR10R7,115,14,0,0,0,Absent,129,Ridge,
S15,6/24/2015,Tolomato River,N,TR10,TR10,S15TR10R8,32,74,7,0,3,Absent,116,Ridge,
S15,6/24/2015,Tolomato River,N,TR13,TR13,S15TR13R11,79,2,2,0,0,Absent,83,Ridge,
S15,6/24/2015,Tolomato River,N,TR13,TR13,S15TR13R2,77,0,6,0,1,Absent,84,Ridge,
S15,6/24/2015,Tolomato River,N,TR13,TR13,S15TR13R3,92,1,7,0,0,Absent,100,Ridge,
S15,6/24/2015,Tolomato River,Y,TR16,TR16,S15TR16R2,144,4,7,0,3,Absent,158,Ridge,
S15,6/24/2015,Tolomato River,Y,TR16,TR16,S15TR16R5,89,3,11,0,1,Absent,104,Ridge,
S15,6/24/2015,Tolomato River,Y,TR16,TR16,S15TR16R7,121,1,14,0,3,Absent,139,Ridge,
S15,6/24/2015,Tolomato River,N,TR2,TR2A,S15TR2R10,38,0,3,0,0,Absent,41,Ridge,
S15,6/24/2015,Tolomato River,N,TR2,TR2A,S15TR2R5,25,0,1,0,0,Absent,26,Ridge,
S15,6/24/2015,Tolomato River,N,TR2,TR2A,S15TR2R7,59,0,1,0,0,Absent,60,Ridge,
S15,6/24/2015,Tolomato River,N,TR7,TR7,S15TR7R1,70,14,0,0,1,Absent,85,Ridge,
S15,6/24/2015,Tolomato River,N,TR7,TR7,S15TR7R12,169,1,2,4,3,Absent,179,Ridge,
S15,6/24/2015,Tolomato River,N,TR7,TR7,S15TR7R7,7,0,0,0,1,Absent,8,Ridge,**in a dead patch
S15,6/25/2015,Butler Beach,N,BB15A,BB15A,S15BB15AR16,179,5,10,0,0,Absent,194,Ridge,
S15,6/25/2015,Butler Beach,N,BB15A,BB15A,S15BB15AR20,183,2,9,1,0,Absent,195,Ridge,
S15,6/25/2015,Butler Beach,N,BB15A,BB15A,S15BB15AR3,155,19,10,0,1,Absent,185,Ridge,
S15,7/7/2015,Fort Matanzas,Y,CO,CO,S15COR12,67,2,0,0,0,Absent,69,Ridge,
S15,7/7/2015,Fort Matanzas,Y,CO,CO,S15COR2,59,1,4,0,0,Absent,64,Ridge,
S15,7/7/2015,Fort Matanzas,Y,CO,CO,S15COR5,67,0,1,0,0,Absent,68,Ridge,
S15,7/7/2015,Fort Matanzas,Y,FM206,FM206,S15FM206R22,102,0,2,0,0,Absent,104,Ridge,
S15,7/7/2015,Fort Matanzas,Y,FM206,FM206,S15FM206R28,81,0,3,0,0,Absent,84,Ridge,
S15,7/7/2015,Fort Matanzas,Y,FM206,FM206,S15FM206R7,38,0,0,0,0,Absent,38,Ridge,
S15,7/7/2015,Fort Matanzas,Y,FM4,FM4,S15FM4R10,54,1,5,0,0,Absent,60,Ridge,
S15,7/7/2015,Fort Matanzas,Y,FM4,FM4,S15FM4R27,59,1,4,0,0,Absent,64,Ridge,
S15,7/7/2015,Fort Matanzas,Y,FM4,FM4,S15FM4R6,84,1,7,0,0,Absent,92,Ridge,
S15,7/8/2015,St Augustine,N,SA22,SA22,S15SA22R15,44,0,6,0,0,Absent,50,Ridge,
S15,7/8/2015,St Augustine,N,SA22,SA22,S15SA22R17,194,1,36,3,3,Absent,237,Ridge,
S15,7/8/2015,St Augustine,N,SA22,SA22,S15SA22R18,53,0,5,0,0,Absent,58,Ridge,
S15,7/8/2015,St Augustine,N,SA5,SA5,S15SA5R11,68,3,1,0,0,Absent,72,Ridge,
S15,7/8/2015,St Augustine,N,SA5,SA5,S15SA5R4,60,6,0,0,0,Absent,66,Ridge,
S15,7/8/2015,St Augustine,N,SA5,SA5,S15SA5R6,48,2,0,0,0,Absent,50,Ridge,
S15,7/8/2015,St Augustine,N,SA5A,SA5A,S15SA5AR1,56,3,5,0,0,Absent,64,Ridge,
S15,7/8/2015,St Augustine,N,SA5A,SA5A,S15SA5AR2,29,0,8,0,0,Absent,37,Ridge,
S15,7/8/2015,St Augustine,N,SA5A,SA5A,S15SA5AR3,54,4,5,0,0,Absent,63,Ridge,
S15,7/8/2015,St Augustine,N,SA5B,SA5B,S15SA5BR1,56,2,4,0,0,Absent,62,Ridge,
S15,7/8/2015,St Augustine,N,SA5B,SA5B,S15SA5BR2,18,1,2,0,0,Absent,21,Ridge,
S15,7/8/2015,St Augustine,N,SA5B,SA5B,S15SA5BR3,25,0,1,0,0,Absent,26,Ridge,
S15,7/8/2015,St Augustine,N,SA6,SA6,S15SA6R4,62,14,3,0,0,Absent,79,Ridge,
S15,7/8/2015,St Augustine,N,SA6,SA6,S15SA6R5,51,38,1,0,0,Absent,90,Ridge,
S15,7/8/2015,St Augustine,N,SA6,SA6,S15SA6R7,98,113,6,0,0,Absent,217,Ridge,
